,Unnamed: 0,微信号,汉堡贴纸,甜品贴纸,奶茶贴纸,韩餐日料贴纸,川菜贴纸,粤式早茶,地方特色贴纸,火锅贴纸,烤串贴纸,香锅麻辣烫贴纸,面粉贴纸,异域风味贴纸,小吃贴纸
0,0.0,kaopulaoshi,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1.0,wxid_yrqfqclfhe1312,0,0,6,1,0,1,2,0,0,0,2,1,0
2,2.0,ny53836575,1,2,1,0,0,0,1,1,1,1,3,3,3
3,3.0,sweetdonutsss,2,0,3,0,0,0,0,1,0,2,0,1,0
4,4.0,hanying1234,2,1,7,0,0,0,1,0,1,1,1,2,0
5,5.0,urbabygirlliz,0,0,1,0,0,0,0,0,0,0,0,0,0
6,6.0,weiaiApril,0,0,1,0,1,0,1,1,0,1,1,2,1
7,7.0,in180519,0,1,1,0,0,0,0,0,0,0,0,0,1
8,8.0,Z--JYY--,0,0,0,0,0,1,0,0,0,0,0,0,0
9,9.0,momo0226,0,0,0,0,0,0,0,0,0,0,1,0,0
10,11.0,annaw34,2,1,1,0,0,0,0,0,1,0,0,0,0
11,12.0,yu502573541,0,0,0,0,0,0,0,0,2,0,0,0,0
12,13.0,I_am_I_,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14.0,liz365890,0,0,0,0,0,0,0,1,0,0,1,0,0
14,15.0,xyl819,0,0,0,0,0,0,0,0,0,1,0,0,0
15,16.0,lixian201110,0,0,0,0,0,0,1,0,0,0,0,0,0
16,17.0,WXY2025Adys,0,0,3,0,0,0,0,0,0,1,0,0,0
17,18.0,z3z106512sm,0,0,0,1,0,0,0,0,0,0,1,0,0
18,19.0,LitAsir,0,0,0,0,1,0,0,0,0,0,0,0,0
19,20.0,Crystal377520,0,0,0,0,0,0,0,1,0,0,0,0,0
20,21.0,Carol773229,0,1,0,0,0,0,0,0,0,0,0,0,0
21,22.0,yahootudou,0,0,0,0,0,0,0,0,1,0,0,0,0
22,23.0,cloudke,0,0,2,0,0,1,0,1,1,0,1,0,1
23,24.0,taodesigner,1,1,6,3,0,0,0,0,2,0,0,0,4
24,25.0,dzlic20,0,0,0,0,0,0,0,0,1,1,0,0,0
25,26.0,annaw34,0,0,1,0,0,0,0,0,0,0,0,0,0
26,27.0,Dong723,0,0,0,0,0,1,0,0,0,0,0,0,0
27,28.0,idatang101,0,2,1,0,0,0,0,0,0,0,0,0,0
28,29.0,xiaoqingchen1991,1,0,0,0,0,0,0,0,1,0,0,0,0
29,30.0,YrzMHW,0,0,0,0,0,0,0,0,0,1,0,0,0
30,32.0,wng1120,1,0,0,0,0,0,0,0,0,0,0,0,0
31,33.0,hb233z,0,2,2,0,0,0,0,0,0,0,0,0,0
32,34.0,yancita3696,1,0,0,0,0,0,0,0,0,0,0,0,0
33,35.0,Hxiao5299,0,1,2,0,0,0,0,0,0,0,0,0,0
34,36.0,MJEmily,0,0,0,0,0,1,0,0,0,0,0,0,1
35,37.0,yanqiu800629,1,0,0,0,0,1,1,0,0,0,1,1,1
36,38.0,vikilin_tw,0,0,2,0,0,0,3,0,0,0,2,0,4
37,39.0,linmt123520,0,0,1,0,0,0,0,1,0,0,0,0,0
38,40.0,Y19420SE7EN,1,1,1,0,0,0,0,0,0,0,0,0,0
39,42.0,jimmy_sanmi,0,0,0,0,0,0,0,0,0,1,0,0,0
40,43.0,xf950515,0,5,0,0,0,0,0,0,0,2,1,1,2
41,44.0,Stephychen2033,0,1,0,0,0,1,0,0,1,0,0,0,0
42,,LXX2789851137,0,0,0,0,0,2,0,0,0,0,0,0,1
43,,_yl118,1,2,0,0,0,0,0,0,0,0,1,0,0
44,,MIMIGKIKI,0,0,0,0,0,0,2,0,0,0,0,0,0
45,,eva8801011,0,6,0,0,0,0,0,0,0,0,0,0,0
46,,cxy793070390,1,1,0,0,0,0,1,0,0,0,1,0,0
47,,HiYa_Baby,1,1,1,0,0,0,1,0,0,0,0,0,0
48,,Ying9202_,1,1,5,0,0,1,0,1,0,1,2,0,0
49,,Kenny2016888,1,2,3,2,0,1,2,0,1,0,3,1,2
50,,woshihaorenyea,0,0,1,0,0,0,1,0,0,0,0,0,0
51,,meng06,0,1,2,0,0,0,2,0,0,2,0,1,3
52,,gracecn5,0,0,2,0,0,0,0,0,0,0,0,0,0
53,,hui-lol,0,0,0,1,0,0,1,0,1,0,1,0,0
54,,h914371081,0,0,7,1,0,0,0,0,1,0,1,0,0
55,,chencat2,0,4,3,0,1,0,0,0,0,0,0,0,0
56,,swang57,0,2,2,1,0,1,1,0,0,1,1,0,0
57,,nancybabieQ,1,0,1,0,0,0,0,0,2,0,2,0,1
58,,Little_Pig_Ysl,1,0,0,0,0,0,0,0,0,0,0,0,0
59,,CL9172382070,0,1,4,0,1,1,8,0,1,1,3,1,2
60,,ella_220,0,0,1,0,0,0,2,0,0,1,0,0,2
61,,grace869612,1,0,0,0,0,1,1,0,0,0,0,0,0
